,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
0,@WanjikuReports @Kenya_Ports of course. I've been dying to get even just an internship here.,1245157367240589312,1473929269319553026,2021-12-24T06:45:28.000Z,1242834186173665280,1474269979331764224
1,@WanjikuReports 6,2467847931,1473929269319553026,2021-12-24T06:44:49.000Z,1242834186173665280,1474269816626327552
2,@WanjikuReports 7,1373695488491413506,1473929269319553026,2021-12-24T06:44:05.000Z,1242834186173665280,1474269630378172430
3,@WanjikuReports Amref,1160424815460794368,1473929269319553026,2021-12-24T06:43:52.000Z,1242834186173665280,1474269578310082568
4,@WanjikuReports where are the hustler companies?,44146569,1473929269319553026,2021-12-24T06:43:24.000Z,1242834186173665280,1474269461343580162
5,"@WanjikuReports 8,11 or 14.🙏Amen.",1147819554,1473929269319553026,2021-12-24T06:40:31.000Z,1242834186173665280,1474268735896707092
6,@WanjikuReports Kpa,1235823183338426370,1473929269319553026,2021-12-24T06:33:58.000Z,1242834186173665280,1474267085475885056
7,"@WanjikuReports Not a sucker for employment, but I won't mind working at;

1. Google
2. Microsoft
3. Deloitte
4. Unilever",1130756370393903105,1473929269319553026,2021-12-24T06:32:24.000Z,1242834186173665280,1474266693467885570
8,@WanjikuReports Mimi nipewe kazi Kwa serekali hapo ndio ntaiba vizuri,287653843,1473929269319553026,2021-12-24T06:30:41.000Z,1242834186173665280,1474266261400039429
9,@WanjikuReports My Own,3696476237,1473929269319553026,2021-12-24T06:30:07.000Z,1242834186173665280,1474266115312345102
10,@WanjikuReports 13 @KCBGroup . Been my all time Bank. I hope one day it will come to pass. Inshallah,1414977946851348481,1473929269319553026,2021-12-24T06:29:53.000Z,1242834186173665280,1474266059926560772
11,"@WanjikuReports @Amref_Worldwide would be my 1st choice…fingers crossed,prayers on.",3158666304,1473929269319553026,2021-12-24T06:28:05.000Z,1242834186173665280,1474265605297561608
12,@WanjikuReports Google,926032729904484352,1473929269319553026,2021-12-24T06:28:00.000Z,1242834186173665280,1474265585362034701
13,@WanjikuReports United Nations 🇺🇳,718804407782137860,1473929269319553026,2021-12-24T06:27:53.000Z,1242834186173665280,1474265553925726226
14,@WanjikuReports Google,3439268975,1473929269319553026,2021-12-24T06:25:37.000Z,1242834186173665280,1474264985304018944
15,@WanjikuReports United nations,1457797898960261120,1473929269319553026,2021-12-24T06:24:51.000Z,1242834186173665280,1474264790663110657
16,@WanjikuReports @kenya ports authority,4639732822,1473929269319553026,2021-12-24T06:23:20.000Z,1242834186173665280,1474264409308635140
17,@WanjikuReports 11,3389434859,1473929269319553026,2021-12-24T06:18:24.000Z,1242834186173665280,1474263168784478208
18,@WanjikuReports 1,1698318234,1473929269319553026,2021-12-24T06:18:08.000Z,1242834186173665280,1474263101876977666
19,@WanjikuReports EABL and KPA,963642329423806465,1473929269319553026,2021-12-24T06:17:49.000Z,1242834186173665280,1474263020201197568
20,@WanjikuReports 3 or 6,1209793934274285569,1473929269319553026,2021-12-24T06:16:16.000Z,1242834186173665280,1474262630655266816
21,@WanjikuReports 9,847367892832092161,1473929269319553026,2021-12-24T06:12:49.000Z,1242834186173665280,1474261765076697088
22,@WanjikuReports @SafaricomPLC ... God knows how much I wanna work here... fingers crossed ☺️,4811188288,1473929269319553026,2021-12-24T06:12:05.000Z,1242834186173665280,1474261577897492483
23,@WanjikuReports @kenyapipeline,223365036,1473929269319553026,2021-12-24T06:11:08.000Z,1242834186173665280,1474261338969063431
24,@WanjikuReports 3,840057032,1473929269319553026,2021-12-24T06:10:35.000Z,1242834186173665280,1474261203010609159
25,@WanjikuReports Eabl,1039222014064689152,1473929269319553026,2021-12-24T06:08:39.000Z,1242834186173665280,1474260714839855104
26,@WanjikuReports Safaricom,1385275312104218627,1473929269319553026,2021-12-24T06:07:46.000Z,1242834186173665280,1474260491686002691
27,@WanjikuReports 2,580576895,1473929269319553026,2021-12-24T06:06:46.000Z,1242834186173665280,1474260240791228416
